"File name","Comment Id","Comment Text","Comment Tokens","Comment scope","Prog.dom matches (comm.)","Prob.dom matches (comm.)","Identifier symbol","Identifier type","Identifier tokens","Identifier scopes","prog.dom matches (id)","prob. dom matches (id)","prog.dom matches (comm+id)","prob. dom matches (comm+id)","Symbol ids"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/contrib/libtests/pngvalid.c",1,"pngvalid.c - validate libpng by constructing then reading png files.
 *
 * Copyright (c) 2021 Cosmin Truta
 * Copyright (c) 2014-2017 John Cunningham Bowler
 *
 * This code is released under the libpng license.
 * For conditions of distribution and use, see the disclaimer
 * and license in png.h
 *
 * NOTES:
 *   This is a C program that is intended to be linked against libpng.  It
 *   generates bitmaps internally, stores them as PNG files (using the
 *   sequential write code) then reads them back (using the sequential
 *   read code) and validates that the result has the correct data.
 *
 *   The program can be modified and extended to test the correctness of
 *   transformations performed by libpng.","pngvalid ||| c ||| - ||| validate ||| libpng ||| constructing ||| reading ||| png ||| files ||| copyright ||| c ||| 2021 ||| cosmin ||| truta ||| copyright ||| c ||| 2014-2017 ||| john ||| cunningham ||| bowler ||| code ||| released ||| libpng ||| license ||| for ||| conditions ||| distribution ||| use ||| see ||| disclaimer ||| license ||| png ||| h ||| notes ||| c ||| program ||| intended ||| linked ||| libpng ||| generates ||| bitmaps ||| internally ||| stores ||| png ||| files ||| using ||| sequential ||| write ||| code ||| reads ||| back ||| using ||| sequential ||| read ||| code ||| validates ||| result ||| correct ||| data ||| program ||| modified ||| extended ||| test ||| correctness ||| transformations ||| performed ||| libpng ||| ","2: 21","['validate', 'Operations as part of Algorithms']  ['for', 'Operations as part of Algorithms']  ['linked', 'Properties of Datastructure / Function / Blocks']  ['generates', 'Operations as part of Algorithms']  ['sequential', 'Operations as part of Algorithms']  ['write', 'Operations as part of Data structure']  ['back', 'Data-Structure and its Components']  ['sequential', 'Operations as part of Algorithms']  ['read', 'Operations as part of Data structure']  ['validates', 'Operations as part of Algorithms']  ['result', 'Data-Structure and its Components']  ['data', 'Data-Structure and its Components']  ['modified', 'Operations as part of Algorithms']","libpng ||| png ||| libpng ||| png ||| libpng ||| png ||| libpng ||| cosmin truta","_POSIX_SOURCE","macroDefinition : ","POSIX SOURCE","21: 21","","","","","2401185255927"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/contrib/libtests/pngvalid.c",2,"For floating point","for ||| floating ||| point ||| ","22: 22","['for', 'Operations as part of Algorithms']","","_ISOC99_SOURCE","macroDefinition : ","ISOC99 SOURCE","22: 22","","","","","2402667911406"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/contrib/libtests/pngvalid.c",3,"For the floating point exception extension","for ||| floating ||| point ||| exception ||| extension ||| ","23: 23","['for', 'Operations as part of Algorithms']","","_GNU_SOURCE","macroDefinition : ","GNU SOURCE","23: 23","","","","","2401797826130"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/contrib/libtests/pngvalid.c",4,"For the floating point exception extension","for ||| floating ||| point ||| exception ||| extension ||| ","24: 24","['for', 'Operations as part of Algorithms']","","_BSD_SOURCE","macroDefinition : ","BSD SOURCE","24: 24","","","","","2402848945373"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/contrib/libtests/pngvalid.c",5,"For the floating point exception extension","for ||| floating ||| point ||| exception ||| extension ||| ","25: 25","['for', 'Operations as part of Algorithms']","","_DEFAULT_SOURCE","macroDefinition : ","DEFAULT SOURCE","25: 25","default : Properties of Datastructure / Function / Blocks","","","","2403046613544"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/contrib/libtests/pngvalid.c",6,"from config.h, if included","config ||| h ||| if ||| included ||| ","34: 34","['if', 'Operations as part of Algorithms']  ['included', 'Operations as part of Algorithms']","","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/contrib/libtests/pngvalid.c",7,"Define the following to use this test against your installed libpng, rather
 * than the one being built here:","define ||| following ||| use ||| test ||| installed ||| libpng ||| rather ||| one ||| built ||| ","48: 59","","libpng","../../png.h","inclusionDirective : ","../../png.h","54: 54","","","","","2401882280534"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/contrib/libtests/pngvalid.c",8,"For crc32","for ||| crc32 ||| ","60: 60","['for', 'Operations as part of Algorithms']","","zlib.h","inclusionDirective : ","zlib.h","60: 60","","","","","2400373473957"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/contrib/libtests/pngvalid.c",9,"1.6.1 added support for the configure test harness, which uses 77 to indicate
 * a skipped test, in earlier versions we need to succeed on a skipped test, so:","1 ||| 6 ||| 1 ||| added ||| support ||| for ||| configure ||| test ||| harness ||| uses ||| 77 ||| indicate ||| skipped ||| test ||| earlier ||| versions ||| need ||| succeed ||| skipped ||| test ||| ","63: 71","['added', 'Operations as part of Data structure']  ['for', 'Operations as part of Algorithms']","","SKIP ||| PNG_LIBPNG_VER","macroDefinition :  ||| macroExpansion : ","SKIP ||| PNG LIBPNG VER","69: 69 ||| 66: 66"," ||| "," ||| png | libpng","","","2403635215792 ||| 2402272846609"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/contrib/libtests/pngvalid.c",10,"pngvalid requires write support and one of the fixed or floating point APIs.","pngvalid ||| requires ||| write ||| support ||| one ||| fixed ||| floating ||| point ||| apis ||| ","72: 77","['write', 'Operations as part of Data structure']","","","","","","","","","",""
